#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9967911720e+00    4.0194043776e+00   -2.7922732450e+00    7.9548207305e-01    1.4277429666e+00    8.6269410453e-01   -5.4882854949e+00    4.0557517883e-01    3.2000000000e+02    1.7842203379e-03    9.9322916667e-01
         1   -2.0099079356e+00    4.0737368273e+00   -2.8183246799e+00    8.0841674437e-01    1.3660792883e+00    8.6269410453e-01   -5.4348524571e+00    3.8775438437e-01    3.2000000000e+02    2.2863745689e-03    9.9375000000e-01
         2   -2.0097763916e+00    4.0804584893e+00   -2.7708316745e+00    7.6105528290e-01    1.4023607858e+00    8.6269410453e-01   -5.5220521423e+00    4.8616557746e-01    3.2000000000e+02    2.2593587637e-03    9.9010416667e-01
         3   -1.9897676579e+00    4.0166027567e+00   -2.8391294457e+00    8.4936178787e-01    1.4146743300e+00    8.6269410453e-01   -5.5194062798e+00    4.0290839949e-01    3.2000000000e+02    2.2404640913e-03    9.9010416667e-01
         4   -1.9758236190e+00    3.9448465340e+00   -2.8075315119e+00    8.3170789284e-01    1.3786598963e+00    8.6269410453e-01   -5.6041660609e+00    5.5528054815e-01    3.2000000000e+02    2.2950023413e-03    9.9036458333e-01
         5   -1.9809650403e+00    3.9782803596e+00   -2.7423084470e+00    7.6134340668e-01    1.3440305073e+00    8.6269410453e-01   -5.5558466435e+00    6.0681358459e-01    3.2000000000e+02    2.2491067648e-03    9.9140625000e-01
         6   -1.9993804512e+00    4.0401060567e+00   -2.8205073914e+00    8.2112694022e-01    1.3487734430e+00    8.6269410453e-01   -5.5089305823e+00    4.7695564335e-01    3.2000000000e+02    2.2840648890e-03    9.9218750000e-01
         7   -1.9971019802e+00    4.0293060416e+00   -2.7615603983e+00    7.6445841802e-01    1.3260211159e+00    8.6269410453e-01   -5.4164059735e+00    4.6613035478e-01    3.2000000000e+02    2.2983402014e-03    9.9140625000e-01
         8   -1.9884217588e+00    3.9954695662e+00   -2.7676185613e+00    7.7919680247e-01    1.3751060607e+00    8.6269410453e-01   -5.5685814505e+00    5.6316272400e-01    3.2000000000e+02    2.2609829903e-03    9.9114583333e-01
         9   -1.9864243043e+00    3.9911229971e+00   -2.7902480771e+00    8.0382377276e-01    1.3988503361e+00    8.6269410453e-01   -5.6139581422e+00    5.6216562456e-01    3.2000000000e+02    2.2568553686e-03    9.8958333333e-01
        10   -2.0043645044e+00    4.0560586795e+00   -2.7851427580e+00    7.8077825353e-01    1.4047026164e+00    8.6269410453e-01   -5.6261498669e+00    5.7361038805e-01    3.2000000000e+02    2.2982954979e-03    9.9218750000e-01
        11   -1.9710464477e+00    3.9188507304e+00   -2.7307061971e+00    7.5965974934e-01    1.3681581253e+00    8.6269410453e-01   -5.5501141284e+00    5.8855570152e-01    3.2000000000e+02    2.2417753935e-03    9.9140625000e-01
        12   -1.9762826521e+00    3.9362912435e+00   -2.7694350420e+00    7.9315238989e-01    1.4415660155e+00    8.6269410453e-01   -5.5028239858e+00    4.2912882376e-01    3.2000000000e+02    2.3156702518e-03    9.9322916667e-01
        13   -2.0172956049e+00    4.0992782246e+00   -2.8166933054e+00    7.9939770050e-01    1.3735448492e+00    8.6269410453e-01   -5.4843976805e+00    4.3146542134e-01    3.2000000000e+02    2.2613853216e-03    9.9088541667e-01
        14   -2.0220802509e+00    4.1124966513e+00   -2.7587079190e+00    7.3662766807e-01    1.3246762284e+00    8.6269410453e-01   -5.3436163616e+00    3.9753810980e-01    3.2000000000e+02    2.1878629923e-03    9.9166666667e-01
        15   -2.0116222435e+00    4.0810189980e+00   -2.8075248068e+00    7.9590256330e-01    1.3597301341e+00    8.6269410453e-01   -5.4960551578e+00    4.6610611235e-01    3.2000000000e+02    2.1990090609e-03    9.9296875000e-01
        16   -2.0240172231e+00    4.1241741845e+00   -2.9240536965e+00    9.0003647347e-01    1.3936752027e+00    8.6269410453e-01   -5.5109770643e+00    3.3055406057e-01    3.2000000000e+02    2.2877007723e-03    9.8958333333e-01
        17   -1.9775370721e+00    3.9543987595e+00   -2.7983915583e+00    8.2085448613e-01    1.4064368518e+00    8.6269410453e-01   -5.6490179222e+00    5.8149540759e-01    3.2000000000e+02    2.3037195206e-03    9.9010416667e-01
        18   -1.9767435896e+00    3.9431106527e+00   -2.7958259951e+00    8.1908240552e-01    1.4511254682e+00    8.6269410453e-01   -5.6411772493e+00    5.3153168151e-01    3.2000000000e+02    2.3134350777e-03    9.9348958333e-01
        19   -1.9803037458e+00    3.9763232018e+00   -2.7026142743e+00    7.2231052852e-01    1.4196283854e+00    8.6269410453e-01   -5.4162302087e+00    4.3129344446e-01    3.2000000000e+02    2.2070556879e-03    9.9062500000e-01
        20   -2.0189324815e+00    4.1699847868e+00   -2.7787733148e+00    7.5984083326e-01    1.3369268805e+00    8.6269410453e-01   -5.3948001821e+00    4.1640588237e-01    3.2000000000e+02    2.1895021200e-03    9.8932291667e-01
        21   -1.9869988145e+00    3.9766143546e+00   -2.7885692251e+00    8.0157041059e-01    1.2947771747e+00    8.6269410453e-01   -5.3523041557e+00    4.0626365139e-01    3.2000000000e+02    2.1952092648e-03    9.9062500000e-01
        22   -1.9637012533e+00    3.9192492826e+00   -2.7466879919e+00    7.8298673864e-01    1.3659881233e+00    8.6269410453e-01   -5.5856745562e+00    6.1030433645e-01    3.2000000000e+02    2.3345053196e-03    9.9036458333e-01
        23   -1.9961628306e+00    4.0572259294e+00   -2.7676987871e+00    7.7153595648e-01    1.3944388698e+00    8.6269410453e-01   -5.5860394708e+00    5.6120770939e-01    3.2000000000e+02    2.2814422846e-03    9.9062500000e-01
        24   -2.0004652148e+00    4.0287753932e+00   -2.7525670035e+00    7.5210178872e-01    1.3949613844e+00    8.6269410453e-01   -5.3520976869e+00    3.4187519444e-01    3.2000000000e+02    2.1981000900e-03    9.9140625000e-01
        25   -2.0182252552e+00    4.1004923882e+00   -2.7355224450e+00    7.1729718982e-01    1.3829826646e+00    8.6269410453e-01   -5.2696102092e+00    2.8841099501e-01    3.2000000000e+02    2.2130012512e-03    9.9062500000e-01
        26   -1.9835236484e+00    3.9748695515e+00   -2.9010664473e+00    9.1754279890e-01    1.3336014114e+00    8.6269410453e-01   -5.4352636678e+00    3.3790170456e-01    3.2000000000e+02    2.2610127926e-03    9.9192708333e-01
        27   -2.0066783912e+00    4.0700966501e+00   -2.7128055177e+00    7.0612712645e-01    1.2976557996e+00    8.6269410453e-01   -5.4254795857e+00    5.5232416391e-01    3.2000000000e+02    2.2249817848e-03    9.8828125000e-01
        28   -2.0112497692e+00    4.0919962767e+00   -2.5675614217e+00    5.5631165251e-01    1.2832147742e+00    8.6269410453e-01   -5.3163713896e+00    6.0290108922e-01    3.2000000000e+02    2.1379739046e-03    9.9088541667e-01
